max_depth,train_scores,test_scores
1,0.7591904425539756,0.7637737239727289
2,0.8213199840299745,0.8227995823352374
3,0.8358465649089402,0.8345924697500153
4,0.8453057338533829,0.837847798046803
5,0.8589723902828538,0.8457097229899884
6,0.8648383034919075,0.8508076899453351
7,0.8563619053468874,0.8381549044898962
8,0.8725162003623967,0.8532645414900805
9,0.8726083351248426,0.8485351022664456
10,0.8822210620066951,0.8541244395307414
